SKU,Quantity,ProductCategory,ProductName,Margin,AverageDiscount,OrderCount_Ratio_Discounted_vs_FullPrice,Seasonality
9-2077003501,4.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Προσώπου / Make Up & Foundations Προσώπου,Estée Lauder Double Wear Stay-In-Place Makeup SPF 10 5C1 Rich Chestnut,15.62,27.09,inf,november
9-3369027414|EE0018|6-7,0.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Ρούχα & Αξεσουάρ για Κορίτσια / Παιδικές Μπλούζες για Κορίτσια / Παιδικά T-Shirts για Κορίτσια",OVS παιδικό T-shirt με all-over Stitch print Λευκό 6-7Y,44.1,0.0,0.0,april
9-3372016610|EE0019|13-14,0.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Ρούχα & Αξεσουάρ για Αγόρια / Παιδικές Μπλούζες για Αγόρια / Παιδικά T-Shirts για Αγόρια",OVS παιδικό T-shirt με Joker print Regular Fit Μαύρο 13-14Y,39.97,5.38,inf,may
9-3548000301|EE0019|75,1.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Εσώρουχα / Γυναικεία Σουτιέν,"Lovable γυναικείο σουτιέν ""24H Lift"" cup D Μαύρο 75",21.37,9.18,inf,may
9-4499002348|EE0005|50,1.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Πανωφόρια / Γυναικεία Σακάκια,Bella P. γυναικείο σακάκι crepe μονόχρωμο  Μαύρο 50,20.45,37.8,inf,may
9-4508000805|EE0019|XL,1.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Ρούχα / Ανδρικά Παντελόνια / Ανδρικές Φόρμες,JACK & JONES ανδρικό παντελόνι φόρμας με λογότυπο Μαύρο XL,20.5,5.6,inf,may
9-4620000153,0.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Γυναικεία Αρώματα / Eau de Parfum - Parfum,Gucci Flora Gorgeous Jasmine Eau De Parfum Gucci Flora Gorgeous Jasmine Eau De Parfum 30 ml,24.13,30.76,1.0,july-august
9-5142000006|EE6930|3434,1.0,Ανδρική Μόδα / Ανδρικά Ρούχα / Ανδρικά Τζιν / Ανδρικά Τζιν Slim Fit,"Levi's® ανδρικό τζην παντελόνι πεντάτσεπο Nightshine Slim Fit ""511®"" Μαύρο 34W 34L",30.74,33.0,inf,july
9-5142000021|EE2556|XXL,2.0,Ανδρική Μόδα / Ανδρικά Ρούχα / Ανδρικές Μπλούζες / Ανδρικά T-Shirts,"Levi's® ανδρικό T-shirt μονόχρωμο με λογότυπο Regular Fit ""Original Housemark"" Μπλε XXL",27.96,8.64,inf,february
9-5142000073|EE8092|L,1.0,Ανδρική Μόδα / Ανδρικά Ρούχα / Ανδρικές Μπλούζες / Ανδρικά T-Shirts,"Levi's® ανδρικό T-shirt μονόχρωμο βαμβακερό με contrast logo print ""Graphic Set-in"" Μαύρο L",23.74,10.5,1.0,june-july
9-5142000075|EE6548|L,2.0,Ανδρική Μόδα / Ανδρικά Ρούχα / Ανδρικές Μπλούζες / Ανδρικά T-Shirts,"Levi's® ανδρικό T-shirt μονόχρωμο βαμβακερό με contrast logo print ""Graphic Set-in"" Σκούρο Μπλε L",33.36,14.0,inf,september
9-5143000009|EE6932|L,3.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Τοπ / Γυναικεία T-Shirts,"Levi's® γυναικείο T-shirt μονόχρωμο ""Perfect Tee"" Μαύρο L",19.18,7.74,1.5,april-may
1053770,8.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Ανδρικά Αρώματα / Eau de Parfum - Parfum,Moschino Toy Boy Eau de Parfum 100ml,23.76,30.57,inf,june-july
1058725,1.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Γυναικεία Αρώματα / Eau de Toilette,Givenchy Irresistible Eau de Toilette Givenchy Irresistible Eau de Toilette 35 ml,25.99,26.04,1.0,february
1058844,7.0,Προϊόντα Ομορφιάς / Περιποίηση Προσώπου / Ενυδάτωση & Αντιγήρανση Ματιών / Serum,Clarins Double Serum Eye 20 ml,28.68,26.24,11.6,october-december
1058973,5.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Προσώπου / Concealers,Clarins Evelasting Concealer Clarins Evelasting Concealer 01 12ml,38.56,15.37,4.5,june
1080513,2.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Γυναικεία Αρώματα / Αρωματικές Κρέμες & Lotion,Versace Dylan Purple Body Lotion 200 ml,20.99,18.96,5.0,july
1084747,3.0,Προϊόντα Ομορφιάς & Καλλυντικά / Μακιγιάζ / Μακιγιάζ Προσώπου / Make Up & Foundations Προσώπου,Guerlain Terracotta Le Teint Glow - Healthy Glow Foundation Longwear - No-Transfer 35 ml 2.5N Neutral,30.43,16.47,inf,april-may
1084438,3.0,Προϊόντα Ομορφιάς & Καλλυντικά / Μακιγιάζ / Μακιγιάζ Προσώπου / Make Up & Foundations Προσώπου,Shiseido Synchro Skin Self Refreshing Foundation 30 ml 160 Shell,32.77,21.12,inf,may
1084981,6.0,Προϊόντα Ομορφιάς & Καλλυντικά / Μακιγιάζ / Μακιγιάζ Προσώπου / Make Up & Foundations Προσώπου,Shiseido UV Protective Compact Foundation SPF30 Refill 12 gr Medium Ivory,16.39,13.14,inf,march-may
1085121,2.0,Προϊόντα Ομορφιάς & Καλλυντικά / Περιποίηση Προσώπου / Ενυδάτωση - Αντιγήρανση Προσώπου / Serums,Shiseido Future Solution Lx Intensive Firming Brilliance Serum 50 ml,33.23,0.0,0.0,april
12307329,3.0,Home / ΔΙΑΚΟΣΜΗΣΗ / Γραφείο / Γραφική Ύλη / Στυλό,"Faber-Castell στυλό ""Grip Finepen"" 0.4 Μagenta",20.12,0.0,0.0,january-february
3NF2037PO|LGC87|T00,0.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικείες Τσάντες / Γυναικείες Τσάντες Ώμου & Shopper Bags,"Lacoste γυναικεία τσάντα ώμου ""Concept Small Zip Tote"" Καμηλό ONE SIZE",16.95,20.0,inf,may
3RO1004|B166NV|TXL,2.0,Ανδρική Μόδα / Ανδρικά Ρούχα / Ανδρικές Μπλούζες / Ανδρικά Φούτερ & Ζακέτες,The Bostonians ανδρική ζακέτα φούτερ με ψηλό λαιμό και λογότυπο Regular Fit Μπλε Σκούρο XL,43.47,24.5,inf,june
900240501232,2.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Ανδρικά Αρώματα / Eau de Parfum - Parfum,Yves Saint Laurent Myslf Eau de Parfum 60ml,43.97,37.47,inf,june-july
900278504272,1.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Χειλιών / Κραγιόν,Lancôme L'absolu Rouge Intimatte - Blushing Nudes Flush Of Love,39.25,15.37,inf,july
900278504291,1.0,Προϊόντα Ομορφιάς / Περιποίηση Προσώπου / Ενυδάτωση - Αντιγήρανση Προσώπου / Ημέρας,Lancôme Hydra Zen Gel Cream Ενυδατική και Καταπραϋντική Κρέμα Τζελ 50 ml,24.14,27.14,inf,november-december
9-2077003524,2.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Προσώπου / Concealers,Estée Lauder Double Wear Stay-in-Place Flawless Wear Concealer Estée Lauder Double Wear Stay-in-Place Flawless Wear Concealer 1W Warm Light 7 ml,17.93,15.56,5.0,march
9-2077003686,3.0,Προϊόντα Ομορφιάς / Περιποίηση Προσώπου / Ενυδάτωση - Αντιγήρανση Προσώπου / Serums,Estée Lauder Advanced Night Repair Synchronized Multi-Recovery Complex 30ml,35.53,34.61,inf,june-july
9-2077003840,2.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Ματιών / Μολύβια Ματιών,Estée Lauder Double Wear 24H Waterproof Gel Eye Pencil 02 Espresso,28.2,12.13,inf,january
9-3369027369|EE0419|4-5,1.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Ρούχα & Αξεσουάρ για Κορίτσια / Παιδικά Σετ Ρούχων για Κορίτσια",OVS παιδικό σετ ρούχων με μπλούζα και παντελόνι φόρμας Regular Fit Βιολετί 4-5Y,18.66,0.0,0.0,february
9-3369027375|EE0051|9-10,0.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Ρούχα & Αξεσουάρ για Κορίτσια / Παιδικά Παλτό για Κορίτσια",OVS παιδικό denim jacket Denim Blue 9-10Y,29.86,0.0,0.0,march-april
9-3369027426|EE0018|5-6,0.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Ρούχα & Αξεσουάρ για Κορίτσια / Παιδικές Μπλούζες για Κορίτσια / Παιδικά T-Shirts για Κορίτσια",OVS παιδικό T-shirt με flowers print Εκρού 5-6Y,16.03,2.98,inf,may
9-3370026265|EE0019|7-8,2.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Ρούχα & Αξεσουάρ για Αγόρια / Παιδικά Φούτερ για Αγόρια",OVS παιδική μπλούζα φούτερ με print Regular Fit Μαύρο 7-8Y,42.28,0.0,0.0,march
9-3370026280|EE0334|3-4,1.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Ρούχα & Αξεσουάρ για Αγόρια / Παιδικές Μπλούζες για Αγόρια",OVS παιδική μπλούζα μακρυμάνικη με dinosaur print Πράσινο 3-4Y,22.76,2.08,inf,may
9-3970008523|EE6517|52,0.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Τοπ / Γυναικείες Μπλούζες / Γυναικείες Μπλούζες Casual,Emme by Marella γυναικεία μπλούζα με floral print Μπλε Σκούρο 52,34.88,22.5,inf,may
9-4824001937|EE0019|XXX LARGE,1.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Ρούχα / Ανδρικές Μπλούζες / Ανδρικές Μπλούζες Πολο,Lee® ανδρική μπλούζα πόλο πικέ κοντομάνικη με κεντημένο λογότυπο και contrast λεπτομέρειες Regular Fit Μαύρο 3XL,24.35,0.0,0.0,april
9-4879000347|EE1429|48,1.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Πλεκτά / Γυναικεία Πουλόβερ,Rabe γυναικείο πουλόβερ με σχέδιο Μπλε Σκούρο 48,30.6,65.0,inf,february
9-4896001268,1.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Αξεσουάρ Μακιγιάζ,Kiko Milano False Eyelashes Glue ,31.4,0.0,0.0,july
9-4896001318,13.0,Προϊόντα Ομορφιάς & Καλλυντικά / Μακιγιάζ / Μακιγιάζ Προσώπου / Make Up & Foundations Προσώπου,Kiko Milano Full Coverage 2-In-1 Foundation & Concealer Cool Rose 20,20.55,0.0,0.0,november
9-4920000121|EE0018|22,0.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Παπούτσια / Βρεφικά Παπούτσια",Biomecanics βρεφικά δερμάτινα πέδιλα  Λευκό 22,44.09,18.6,0.67,april-may
9-4952000135|ED2799|20,1.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Παπούτσια / Βρεφικά Παπούτσια",Primigi βρεφικά δερμάτινα σανδάλια με all-over print Λευκό 20,38.25,14.97,inf,may
9-5038000242|EE0322|M,1.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Ρούχα / Ανδρικά Πλεκτά / Ανδρικά Πουλόβερ,Profuomo ανδρικό πουλόβερ με ψηλό λαιμό και 1/2 κρυφό φερμουάρ Normal Fit Γκρι M,43.18,63.68,inf,february
9-5142000211|EE2560|L,3.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Ρούχα / Ανδρικά Πουκάμισα / Ανδρικά Πουκάμισα Casual,"Levi's® ανδρικό denim πουκαμισο με τσέπες στο στήθος και snap buttons Standard Fit ""Barstow"" Denim Blue Ανοιχτό L",41.84,0.0,0.0,march
9-5143000024|EE2707|2728,1.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Τζιν / Γυναικεία Τζιν Mom Fit,"Levi's® γυναικείο τζην παντελόνι ""80's Mom"" Denim Blue Ανοιχτό 27W 28L",32.94,36.0,inf,july
9-5165000005|EE1411|11.5,1.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Αθλητικά Ρούχα & Παπούτσια / Παιδικά Αθλητικά Παπούτσια / Παιδικά & Εφηβικά Αθλητικά Παπούτσια","Puma παιδικά αθλητικά παπούτσια training ""Reflect Lite Masked Hero"" Λευκό 30",42.66,18.0,inf,august
1045140,1.0,Προϊόντα Ομορφιάς & Καλλυντικά / Μακιγιάζ / Αξεσουάρ Μακιγιάζ,Sensai  CP Total Finish Foundation Case,17.65,11.56,inf,november-december
1047825,4.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Ανδρικά Αρώματα / Αποσμητικά Αρωμάτων,Versace Versace Pour Homme Dylan Blue Deodorant Stick 75 ml,20.88,10.66,inf,april
1058831,5.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Ανδρικά Αρώματα / Eau de Toilette,Kenzo Homme Eau De Toilette Intense Kenzo Homme Eau De Toilette Intense 40 ml,16.36,26.96,inf,july
1080925,7.0,Προϊόντα Ομορφιάς / Περιποίηση Σώματος / Ενυδάτωση Σώματος  / Ενυδατικές Κρέμες & Lotion,Clarins Masvelt Advanced Body Shaping Cream 200 ml,24.76,22.39,4.75,november-december
1084342,2.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Χειλιών / Κραγιόν,Guerlain Rouge G The Double Mirror Jewel Case The Customisable Ultra-Care Lipstick Le Croco,26.66,9.42,3.6,november-december
1084983,6.0,Προϊόντα Ομορφιάς & Καλλυντικά / Μακιγιάζ / Μακιγιάζ Προσώπου / Make Up & Foundations Προσώπου,Shiseido UV Protective Compact Foundation SPF30 Refill 12 gr Dark Ivory,23.14,11.97,inf,may
1084129,6.0,Προϊόντα Ομορφιάς / Περιποίηση Σώματος / Καθαρισμός Σώματος / Αφρόλουτρα,Yves Rocher Bourbon Vanilla Escape Bath & Shower Gel 400 ml,39.86,3.26,0.86,november-december
12308677,10.0,Home / ΓΡΑΦΕΙΟ / Ζωγραφική / Μαρκαδόροι Ζωγραφικής,Faber-Castell Μαρκαδόροι Jumbo Σετ των 24,25.7,2.88,1.0,september
1085073,6.0,Προϊόντα Ομορφιάς & Καλλυντικά / Περιποίηση Προσώπου / Ενυδάτωση - Αντιγήρανση Προσώπου / Ημέρας,Clarins Extra-Firming Day Cream All Skin Types 50 ml       50ml,23.43,30.87,inf,april
3CN1551T303|B166NV|T52,3.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Ρούχα / Ανδρικά Παντελόνια / Ανδρικά Παντελόνια Chinos,The Bostonians ανδρικό παντελόνι chino Modern Fit Μπλε Σκούρο 52,31.28,19.0,inf,may
900278503921,1.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Ματιών / Eyeliners,Lancôme Liner Idole 04 Emerald Green,19.23,10.81,inf,july
900278503970,1.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Προσώπου / Make Up & Foundations Προσώπου,Lancôme Teint Idole Ultra Wear Lancôme Teint Idole Ultra Wear 210C 30 ml,39.07,19.46,inf,october-december
900278800974,1.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Γυναικεία Αρώματα / Eau de Parfum - Parfum,Armani Sì Passione Intense Eau de Parfum 50ml,17.24,42.75,1.0,april-may
9-2077003779,1.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Προσώπου / Make Up & Foundations Προσώπου,Estée Lauder Double Wear Sheer Long-Wear Makeup SPF 20 Estée Lauder Double Wear Sheer Long-Wear Makeup SPF 20 2W1 Dawn,44.61,23.56,inf,november
9-3309010136|ED2082|100,2.0,Ανδρική Μόδα / Ανδρικά Παπούτσια / Ανδρικά Sneakers,"Timberland ανδρικά sneakers ""Winsor Trail Low"" Μαύρο 44",38.17,35.4,inf,july-august
9-3370026261|EE0051|5-6,0.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Ρούχα & Αξεσουάρ για Αγόρια / Παιδικά Παντελόνια για Αγόρια / Παιδικές Φορμές για Αγόρια",OVS παιδική παντελόνι φόρμας με print Regular Fit Μπλε Σκούρο 5-6Y,20.96,0.0,0.0,april
9-3370026314|EE0321|9-10,0.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Ρούχα & Αξεσουάρ για Αγόρια / Παιδικά Παντελόνια για Αγόρια / Παιδικά Σόρτς & Βερμούδες για Αγόρια",OVS παιδική βερμούδα μονόχρωμη με ελαστική μέση Regular Fit Εκρού 9-10Y,15.17,2.98,inf,may
9-3372016234|EE1075|14-15,1.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Ρούχα & Αξεσουάρ για Αγόρια / Παιδικές Μπλούζες για Αγόρια / Παιδικά T-Shirts για Αγόρια",OVS παιδικό T-shirt μονόχρωμο βαμβακερό με contrast print Κίτρινο 14-15Y,39.46,3.54,inf,july
935470700066,1.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Γυναικεία Αρώματα / Eau de Parfum - Parfum,Mugler Alien Goddess Eau De Parfum Intense Mugler Alien Goddess Eau De Parfum Intense 90 ml,36.21,60.86,inf,june
9-3548000360|EE0019|L,2.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Εσώρουχα / Γυναικεία Σλιπ,Lovable γυναικείο σλιπ μονόχρωμο Μαύρο L,36.87,0.0,0.0,july
9-3548000537|EE0019|75,1.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Εσώρουχα / Γυναικεία Σουτιέν,"Lovable γυναικείο σουτιέν ""Cotton Line Cotton"" Cup C Μαύρο 75",38.14,3.98,inf,january
9-3970008523|EE2272|52,0.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Τοπ / Γυναικείες Μπλούζες / Γυναικείες Μπλούζες Casual,Emme by Marella γυναικεία μπλούζα με floral print Λιλά 52,17.22,22.5,inf,may
9-4508000747|EE1171|38-34,0.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Ρούχα / Ανδρικά Παντελόνια / Ανδρικά Παντελόνια Chinos,JACK & JONES ανδρικό παντελόνι chino Slim Fit Μπλε Σκούρο 38W 34L,25.75,18.0,inf,january
9-4552001119|EE1059|41-46,1.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Ρούχα / Ανδρικές Κάλτσες / Ανδρικές Κάλτσες Μακριές,"Happy Socks unisex κάλτσες ""Santa On The Way"" Πολύχρωμο 41/46",18.48,0.0,0.0,december
9-4668000123|EE0810|10,0.0,"Παιδικά Ρούχα, Παπούτσια & Παιχνίδια / Παιδικά Ρούχα & Αξεσουάρ για Κορίτσια / Παιδικά Σετ Ρούχων για Κορίτσια",Abel & Lula σετ παιδικό τοπ και παντελόνι με print Γαλάζιο 10Y,40.89,0.0,0.0,may
9-4730000404|EE0847|1SZ,2.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Αξεσουάρ / Γυναικεία Πορτοφόλια & Θήκες,"Valentino γυναικείο πορτοφόλι καπιτονέ με μεταλλικό λογότυπο ""Petal"" Μαύρο ONE SIZE",33.7,16.5,inf,may
9-4896001120,5.0,Προϊόντα Ομορφιάς & Καλλυντικά / Μακιγιάζ / Προϊόντα Νυχιών / Βερνίκια Νυχιών,Kiko Milano Smart Nail Lacquer 84 Dark Tiffany,24.93,0.0,0.0,december
9-4896001236,9.0,Προϊόντα Ομορφιάς & Καλλυντικά / Μακιγιάζ / Μακιγιάζ Προσώπου / Make Up & Foundations Προσώπου,Kiko Milano New Unlimited Foundation 30 ml 5.5 Gold,16.91,0.0,0.0,march
9-4896003008,4.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Ματιών / Σκιές Ματιών,Kiko Milano New Soft Nude Eyeshadow Palette Kiko Milano New Soft Nude Eyeshadow Palette 01 Garden Rose,24.33,0.0,0.0,october-november
9-5143000009|EE6932|XL,0.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Τοπ / Γυναικεία T-Shirts,"Levi's® γυναικείο T-shirt μονόχρωμο ""Perfect Tee"" Μαύρο XL",24.76,9.72,inf,january-february
9-5143000011|EE6012|L,2.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Τοπ / Γυναικεία T-Shirts,"Levi's® γυναικείο T-shirt μονόχρωμο ""Perfect Tee"" Μαύρο L",36.89,7.56,inf,january
9-5168000019|EE0327|12,1.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Φορέματα / Γυναικεία Φορέματα Midi,Closet London γυναικείο φόρεμα midi με πλισέ σχέδιο Λαδί 12,34.13,45.0,inf,may
9-5168000023|EE0399|12,2.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικεία Ρούχα / Γυναικεία Φορέματα / Γυναικεία Φορέματα Midi,Closet London γυναικείο φόρεμα midi με flare κάτω μέρος Σομόν 12,41.62,25.2,inf,may
1046283,1.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Ματιών / Μολύβια Ματιών,Clarins Eyebrow Pencil 01 Dark Brown,29.17,7.02,inf,october
1047820,5.0,Προϊόντα Ομορφιάς & Καλλυντικά / ΑΡΩΜΑΤΑ / Ανδρικά Αρώματα / Eau de Toilette,Versace Versace Pour Homme Dylan Blue EdT Versace Versace Pour Homme Dylan Blue EdT 50 ml,18.59,30.76,inf,december
1058657,3.0,Προϊόντα Ομορφιάς / Περιποίηση Σώματος / Ενυδάτωση & Περιποίηση Χεριών / Κρέμες Χεριών,Clarins Hand and Nail Treatment Cream 100 ml,36.4,9.81,3.0,april
1080512,1.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Γυναικεία Αρώματα / Αρωματικά Έλαια,Givenchy L'Interdit The Shower Oil 200 ml ,37.82,15.42,4.0,february
1080965,2.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Χειλιών / Κραγιόν,"Shiseido Technosatin Gel Lipstick Shiseido Technosatin Gel Lipstick 3,3gr 402 Chatbot",31.84,12.72,1.0,january
1084023,5.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Ανδρικά Αρώματα / Eau de Parfum - Parfum,Michael Kors Pour Homme Eau de Parfum 50ml,38.13,0.0,0.0,august
1084508,3.0,Προϊόντα Ομορφιάς & Καλλυντικά / ΑΡΩΜΑΤΑ / Ανδρικά Αρώματα / Σαμπουάν - Αφρόλουτρα & Σαπούνια,Dsquared2 Icon Pour Homme Shower Gel Tube 200 ml,29.81,0.0,0.0,november
3NF1888PO|LG141|T00,3.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικείες Τσάντες / Γυναικείες Τσάντες Ώμου & Shopper Bags,"Lacoste γυναικεία τσάντα ώμου ""Concept Zip Tote"" Μπλε Σκούρο ONE SIZE",30.68,53.08,4.33,january
900278503966,1.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Προσώπου / Make Up & Foundations Προσώπου,Lancôme Teint Idole Ultra Wear Lancôme Teint Idole Ultra Wear 235N 30 ml,27.83,19.39,0.57,january
900278504379,1.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Χειλιών / Lip Balm,Lancôme Lip Idôle Squalane - 12 Butterglow 3 gr Nude Now,15.76,14.66,inf,july
900278800934,1.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Ανδρικά Αρώματα / Eau de Parfum - Parfum,Armani Acqua di Giò Profondo Eau de Parfum 50ml,18.24,39.44,2.25,july
9-3240009276|EE4543|M,6.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Ρούχα / Ανδρικά Πουκάμισα / Ανδρικά Πουκάμισα Casual,"Levi's® ανδρικό denim πουκάμισο ""Barstow Western Standard"" Γαλάζιο M",15.94,34.0,inf,may
9-3309009918|EE0436|090,3.0,Ανδρικά Ρούχα & Αξεσουάρ / Ανδρικά Παπούτσια / Ανδρικά Boat Shoes,Timberland ανδρικά boat shoes Classic 2-Eye  Καφέ 43,34.09,37.5,inf,february
