SKU,Quantity,PopularMonths
9-3372016246|EE0018|13-14,2.0,may
9-4237004283|EE0981|3+,1.0,august
9-4577000210|EA5985|412,1.0,august
9-4661000347|EE3242|M,0.0,march
9-4824001929|EE1349|3834,1.0,april
9-4824001972|EC3366|3632,0.0,april
9-4896001136,17.0,august
9-4896001185,13.0,july-august
9-5142000006|EE6930|3132,1.0,december
9-5142000021|EE2556|XL,4.0,august
9-5142000066|EE2557|M,1.0,september
9-5143000022|EE2559|2928,1.0,february
9-5143000173|EE1411|M,1.0,april-may
9-5168000005|EE0321|8,2.0,july
979207703238,2.0,january-february
1058845,0.0,july
1058891,0.0,february
1083855,6.0,february
1084405,2.0,october
1085223,4.0,april-may
3DF9599|LFWI|T36,1.0,may
900240501505,0.0,january
900278503965,1.0,january
900278504285,2.0,november-december
900278504321,1.0,january
917278503261,1.0,november
9-2077003543,4.0,september
9-2077003807,1.0,november
9-2077003830,1.0,november
9-2077003839,5.0,march-april
9-3369027369|EE0419|7-8,1.0,march
9-3372016390|EE0436|14-15,1.0,november
9-3548000356|EE0019|75,1.0,february
9-3970008523|EE2272|50,0.0,may
9-3970008586|EA4172|M,1.0,may
9-3970008588|EE3170|XL,0.0,april
9-4730000377|EE0438|1SZ,2.0,february
9-4730000414|EE0847|1SZ,1.0,february
9-4818000089|EE0019|40,1.0,february
9-4896001144,2.0,august-november
9-4896001344,11.0,may
949300800231,1.0,february
9-5142000002|EE2707|3834,0.0,november
9-5142000020|EE6933|L,5.0,june-july
9-5142000227|EE9905|3432,1.0,april
9-5143000015|EE3244|S,0.0,march
9-5143000062|EE1415|2630,1.0,february
1046282,5.0,march
1054433,1.0,march
1058735,3.0,november
1059226,1.0,june
1080383,3.0,july
1081041,4.0,june
1083899,12.0,july
1084085,3.0,june-july
1084639,4.0,february
12307425,1.0,july
3454966218002|P0000|ONE,1.0,may
3DF9599|LGWI|T40,1.0,may
3NF2900PO|LG141|T00,2.0,april
9-2077003808,1.0,april
9-3369027389|EE0051|6-7,1.0,may
9-4552000828|EE1059|36-40,6.0,january-february
9-4824002023|ED5326|SMALL,2.0,april
9-4896001126,3.0,november-december
9-4896001257,12.0,january-december
9-4896001329,5.0,october
9-4896003005,12.0,october-december
9-4896003017,6.0,november
9-4963000147|EE1149|ONESI,0.0,may
9-5142000002|EE2707|3632,1.0,december
9-5142000003|EA9552|3632,1.0,july-august
1031453,14.0,november-december
1031870,2.0,june
1032370,1.0,april-june
1051721,3.0,may
1051903,2.0,may
1082651,3.0,november-december
1082726,4.0,october
1083330,5.0,november
1083633,3.0,august
1083648,9.0,november-december
1083778,2.0,april
1083433,5.0,november-december
3PF2683|L001|T38,1.0,april
9-2077004065,2.0,july
9-2077004083,3.0,january-february
925240500826,0.0,november-december
9-4007005484|EE0529|14,0.0,may
9-4896001842,5.0,january
9-4896003490,13.0,october-december
9-4896003556,0.0,march
9-4896003710,3.0,january
9-4985000147,2.0,april
1042292,3.0,march-april
1051127,4.0,december
1058371,6.0,july
1083436,5.0,march-april
1083568,8.0,january-december
1083626,4.0,march
1082542,2.0,june
1082663,3.0,october
3GJ9820|L166|T8A,1.0,july
925240500743,1.0,november
9-4357000020|EE0848|75,0.0,may
9-4508000589|EE1909|38-32,1.0,may
9-4631000293,5.0,july
9-4862000535,5.0,january
9-4862000770,3.0,april
9-4862001040,3.0,march
9-4896001600,21.0,february
9-4896001802,6.0,march
9-4896001839,8.0,july
9-4896001856,2.0,july-august
9-4896003662,19.0,october
9-4985000661,1.0,december
9-4985000765,4.0,february
9-5287000080|EE0847|.,0.0,march
1044487,3.0,may
1044952,4.0,october-november
1053402,4.0,august
1054619,3.0,may
1058246,2.0,april
1058255,3.0,march
1082558,2.0,november-december
1083603,7.0,march
1083688,5.0,july
1083767,1.0,july-august
1058285,1.0,may-july
1082001,2.0,may
1082563,5.0,july
1083616,7.0,july
3250769904004|P0000|12,0.0,february
3PF0504|L166|TXS,0.0,july
925278800716,1.0,november-december
9-2889014479|EE0018|L,1.0,may
9-3008000667,1.0,february
9-3008000671,1.0,february
9-4007005385|EE1378|8,0.0,february
9-4357000490|EE0019|90,1.0,february
9-4357000491|EE0438|80,2.0,december
9-4447000208|ED2063|070,2.0,july-august
9-4842000573|EA0556|2,0.0,april
9-4842000596|EE0018|4,1.0,may
9-4842000600|EE0018|6,1.0,april
9-4842000602|EA0556|4,0.0,may
9-4862000909,6.0,january-february
9-4896003661,19.0,november
9-4896003755,12.0,january
9-4985000072,4.0,june-july
9-4985000533,3.0,november
9-5279000147|ED8098|04,0.0,april-may
959207703014,1.0,july
103495,1.0,june
1041216,2.0,january
1048043,4.0,november-december
1055912,2.0,april-may
1059622,4.0,september-november
1059625,4.0,april
1059784,2.0,july
1059850,4.0,may
12309987,0.0,october-december
35H1803|LBCK|TS,1.0,july-august
37-45SMA00012G9|0000|7+,2.0,february
3G2009027|G0433|L,2.0,july
3G2013033|G0433|L,3.0,july
3NCV41050|NC4NN|XXL,2.0,june
9-0527010271|EE0013|11,1.0,may
909207702235,3.0,july
909278500034,2.0,july
9-3686001952|EE0847|1SZ,0.0,march-april
9-4508000047|EE0019|33-34,2.0,july-august
9-4552000562|EE1059|41-46,5.0,april-may
9-4622000037,1.0,september
9-4622000186,2.0,november
9-4724000003|EB2698|95,0.0,april
9-4896001073,4.0,october-november
9-4896001075,10.0,october-november
9-4896001078,6.0,june
9-4896002069,11.0,july-august
9-4896002142,1.0,july-august
9-4896004137,13.0,june-july
9-4896004143,6.0,august-september
9-4896004663,9.0,may
9-4896004689,40.0,january-december
9-4896005101,12.0,march-april
9-4896005123,10.0,january-march
9-4896005144,6.0,february
9-4896005247,8.0,march
9-4896005250,9.0,april-may
9-4896005257,7.0,march-may
9-4896005357,5.0,may
9-5035000007|EE0018|41,1.0,august
9-5035000029|EE0019|41,1.0,june-july
9-5035000196|EE0019|38,1.0,april-may
9-5036000015|EE0019|42,1.0,november-december
9-5036000169|EE0334|43,2.0,may
103484,8.0,may-july
1039712,4.0,july
1049923,4.0,october
1059619,4.0,may
1059760,2.0,january-december
1059827,4.0,february
12310451,16.0,august
12310783,4.0,november-december
3CJ2501025|B595IN|T56,1.0,march
3G2013042|G0113|XL,1.0,july
3G2013042|G0403|S,1.0,august
3GS30638908|G69|43,2.0,may
3PS1050|B001WH|TM,1.0,june
900470700084,1.0,july
9-0527010682|EE1754|11,0.0,march
9-4621000064,1.0,april
1052040,3.0,february
1052534,2.0,april
1056924,1.0,april
1080297,1.0,april
3200957048001|P0000|M,1.0,may
1080195,7.0,april
1080201,3.0,may
3200811955005|P0000|10,1.0,may
3200951368001|P0000|S,1.0,january-february
3G2003310|G0630|XL,2.0,april
3G205066|G0248|32,2.0,july
3G205069|G0410|40,1.0,june-july
3G3250038|G0407|L,0.0,march
3G9940170|G0433|105,1.0,april
3GW4200560|G0433|M,2.0,may
3GW4200573|G0433|L,1.0,may
3GW4805331|G0433|M,2.0,may
3TH9894|L132|T5,2.0,may
3TIE00482|B050GY|T00,0.0,february
3TJ2539|LCCA|T4A,1.0,january
3TJ8431|L2CQ|T4A,1.0,may
3TS1287N|B001WH|TL,4.0,may
900240501229,1.0,july
9-0995032973|EE0011|16,1.0,may
9-2212001974|ED7501|.,0.0,may
927278503665,0.0,november
9-3007002611,1.0,january
9-3007002621,1.0,january
9-3007002793,1.0,april
9-3007002918,0.0,june
9-3007002941,1.0,november
9-3308012433|EE0039|34,2.0,july-august
9-3308012621|ED5669|M,9.0,march
9-3308012663|EA8484|M,2.0,may
9-3308012730|EE0039|3XL,0.0,may
9-3309009869|EE8499|100,2.0,june
9-3371018442|EE0051|13-14,1.0,may
9-4093001345|EA5042|XL,1.0,may
9-4551001926|EE0216|54,1.0,march
9-4574001582|EE0810|18M,0.0,may
9-4574001595|EE0225|6,0.0,may
9-4574001606|EC6825|3,1.0,april
9-4574001680|EC1260|18M,1.0,may
9-4598000467|EE1149|37,1.0,may
9-4603000089|EE0358|080,2.0,april-may
9-4862000089,1.0,july
9-4862000143,6.0,april
9-4862000181,7.0,april
9-4896002293,2.0,june-august
9-4896002468,9.0,december
9-4896002534,4.0,august
9-4896002575,8.0,june
9-4896002692,12.0,november
9-4947000466|EE1149|L,1.0,may
9-5000001485|EE0334|42,1.0,may
9-5238000016,3.0,january-february
982255402203,2.0,august
1031247,5.0,may
103449,5.0,august-september
1034690,6.0,november
1051711,3.0,november-december
3200963913002|P0000|M,0.0,may
1080296,4.0,june
3AF5622|L166|T40,1.0,august
9-0995032879|EE0009|5,1.0,may
9-1997056098|EE0844|L-12,0.0,march
927278503634,1.0,april
9-3006000462,1.0,january-february
9-3006000471,0.0,november
9-3007002416,1.0,april
9-3007002759,5.0,november-december
9-3007002879,0.0,january
9-3007003030,1.0,april
9-3007003042,2.0,october
9-3007003050,1.0,june
9-3007003152,1.0,july-september
9-3007003242,1.0,november-december
9-3308012435|EB4876|33,2.0,june
9-3308012488|ED2068|XL,2.0,august
9-3308012520|EE0034|S,0.0,august
9-3308012653|ED8718|XXL,0.0,may
9-3308012697|EB4876|XXL,1.0,may
9-3308012699|EB4876|3XL,0.0,may
9-3308012715|ED0251|L,6.0,may
9-3371018784|EE0321|11-12,1.0,july-august
9-3371018845|EE0019|14-15,2.0,august
9-3371018891|EE0019|10-11,1.0,july
935278503821,1.0,march
935278503828,1.0,november
9-4574001598|EC2912|4,1.0,may
9-4598000467|EE1149|39,2.0,may
9-4599000536|EB3318|18M,1.0,may
9-4649000002|EE0019|XL,1.0,february
9-4763000031|EE6036|4,1.0,november
9-4825001440|EE0018|MEDIUM,1.0,july
9-4862000139,5.0,january-december
9-4862000188,1.0,october-november
9-4862000412,2.0,january-december
9-4896001397,12.0,january-december
9-4896001399,0.0,july-august
9-4896002268,24.0,october-december
9-4896002367,1.0,october-november
9-4896002405,4.0,august-october
9-4896002434,5.0,november
9-4896002511,17.0,january-february
9-4946000448|EA1874|42,1.0,april
9-4947000286|EC3789|L,2.0,may
9-5103000045|ED7652|39,2.0,february
9-5236000003,3.0,october-november
9-5237000000,19.0,august-september
9-5238000010,2.0,april
1042356,2.0,november-december
1044022,7.0,january
1054544,2.0,june-july
1082667,2.0,october
1083655,5.0,december
3GW4200262|G0433|L,2.0,july
9-2077004120,2.0,january
9-2274025596|EE0003|38/36,1.0,april
9-4447000242|ED8730|080,2.0,may
9-4630000166,1.0,september
9-4633000006,1.0,july
9-4622000004,4.0,december
9-4669000971|ED7823|10,1.0,february
9-4669000991|ED4395|4,0.0,april
9-4724000052|EE0379|95,1.0,january
9-4857000110|EB8597|38,2.0,may
9-4896000323,0.0,august-november
9-4896000590,13.0,september-november
9-4896000692,16.0,february
9-4896000930,7.0,june-july
9-4896004139,6.0,march
9-4896004279,2.0,january
9-4896004681,11.0,february
9-4896004767,20.0,october-december
9-4896004913,0.0,january-february
9-4896004916,10.0,october-november
9-4896004964,20.0,january
9-4896004995,3.0,january-december
9-4896005099,15.0,april-may
9-4896005155,7.0,april
9-4896005156,6.0,january
9-4896005325,8.0,march-may
9-5035000007|EE0018|39,0.0,may
9-5037000063|EE1059|25,2.0,may
1058560,2.0,june-july
1059061,2.0,may
1084404,4.0,january-december
1084086,3.0,june-october
1084784,3.0,november-december
12305048,4.0,august-november
3G3000101|G0410|L,3.0,april
900278503923,1.0,july
900278504227,2.0,april
900278800963,0.0,april-may
900278801016,0.0,april
9-2077003688,4.0,january-december
9-3370026279|EE0019|6-7,0.0,march
9-3970008526|EE2272|46,1.0,april-may
9-3970008584|EE0019|XL,1.0,april
9-4237004428|EE0981|5+,0.0,may
9-4508000739|EE7044|M,0.0,november
9-4920000139|EE0001|24,1.0,may
9-5142000137|EE2555|M,1.0,october
9-5142000279|EE6933|4032,1.0,april
9-5143000009|EE6932|M,4.0,october
9-5143000024|EE2707|2628,1.0,august
9-5143000030|EE2554|2626,0.0,may
9-5143000109|EE2554|2632,0.0,april
979278800459,0.0,january
1046807,1.0,december
1054444,2.0,january
1058753,2.0,january-december
1059006,9.0,march-april
1084087,4.0,october-december
1084311,1.0,october
1084775,2.0,march
1084776,3.0,january-december
1080422,2.0,july
1080514,3.0,october-december
1080655,3.0,january
1084458,5.0,november-december
12307338,10.0,august
900278503968,1.0,june
900278504179,1.0,september
900278504447,0.0,october-december
9-3370026292|EE0321|6-7,0.0,may
9-3372016577|EE0051|10-11,0.0,may
9-3970008584|EE0019|S,0.0,may
9-4499002349|EE0004|48,2.0,may
9-4552001009|EE1059|36-40,6.0,december
9-4620000090,1.0,september
9-4896001194,15.0,august
9-4896001223,6.0,september-november
9-4896001262,2.0,october-november
9-4896001313,6.0,october-november
9-4963000069|EC3785|105,2.0,march
9-5142000003|EA9552|3634,1.0,july-august
9-5142000046|EE6572|3132,1.0,july
9-5168000005|EE0321|12,1.0,august
1058801,2.0,april
1059058,5.0,july
1080926,3.0,july-august
1084123,4.0,april
1084208,2.0,march-may
1084688,2.0,april-may
1080955,4.0,march-april
1083847,3.0,april
12306315,4.0,february
12308055,25.0,october-november
3G3000101|G0110|L,2.0,july
900241800269,2.0,january
917278503246,0.0,november-december
917278503259,1.0,april
9-3309010133|ED2079|095,1.0,june
9-3369027412|EE0018|7-8,2.0,april
9-3370026292|EE0321|7-8,0.0,may
9-4238001957|EE0325|9,1.0,may
9-4508000699|EE5628|XXL,1.0,july
9-4619000228,3.0,november-december
9-4822000086|EC8726|21,1.0,december
9-4824001977|EE2011|3332,1.0,may
9-4896001201,5.0,june-july
9-4963000155|EB6958|ONESI,0.0,april-may
9-5142000201|EE6049|L,2.0,march
9-5143000043|EE6036|M,3.0,june
1047793,2.0,january-december
1054439,2.0,february
1058682,3.0,september
1080405,4.0,october-november
1084126,3.0,july
3DF9599|LFWI|T46,1.0,may
900278504088,1.0,january-december
900278504322,1.0,october-november
900278800927,1.0,january
917241800118,1.0,may-june
917241800159,1.0,september-october
9-2077003694,1.0,july
9-2077003851,4.0,july
9-3370026261|EE0051|6-7,0.0,may
9-3370026314|EE0321|4-5,1.0,april
9-3548000300|EE0848|90,1.0,july
9-3548000367|EE0848|80,1.0,april
9-3970008512|EE6516|44,0.0,may
9-4552000828|EE1059|41-46,5.0,january-february
9-4619000205,1.0,april
9-4824001929|EE1349|4034,0.0,march-april
9-4896001338,12.0,january-february
9-5142000000|EE1411|3132,3.0,october
9-4690000051|EE0019|OS,3.0,july-august
9-4690000091|EA2691|OS,4.0,january
9-4842000636|EE1357|8,0.0,may
9-4843000538|EE2303|S,0.0,may
9-4862000624,1.0,april
9-4896003569,13.0,january-december
9-4896003709,4.0,january
9-4896003789,8.0,july
9-4985000004,3.0,september
9-4985000506,2.0,november
9-4985000574,1.0,november
9-4985000728,3.0,december
9-4985000808,2.0,january
9-5289000025,4.0,october-november
1053351,3.0,april
1082628,2.0,october
1082391,2.0,november-december
1082448,3.0,january-december
1082660,3.0,january
1083447,2.0,november
1083761,9.0,may
9-2077003897,3.0,april
9-2889014190|EE4164|M,2.0,july
9-3008000590,1.0,april
9-3233002334|EE6836|U,1.0,february
9-4156001302|EE7959|OSZ,1.0,november
9-4357000338|EE0019|75,2.0,december
9-4447000216|ED2063|095,1.0,july
9-4633000032,1.0,april
9-4686000858|EB0180|M,1.0,january
9-4686000937|ED7751|27/32,0.0,may
9-4690000003|EA6061|OS,18.0,july-august
9-4862000533,1.0,november
9-4896003695,10.0,august
9-4896003734,2.0,may
9-4896003763,9.0,august-september
9-4896003797,1.0,november
9-4975000042|EC7736|L,1.0,june-july
9-4985000050,1.0,august
9-4985000081,2.0,february
9-4985000800,1.0,december
9-5289000013,6.0,january-december
1044486,2.0,november
1051309,3.0,may
1053403,5.0,january-december
1057889,3.0,april
1058492,3.0,may
1082457,7.0,april
1082727,1.0,july
1083579,1.0,march
1083819,3.0,september
1082434,2.0,april
1083614,8.0,december
3NCN1R02892|NC453|M,2.0,april
3PF0504|L031|TS,0.0,august
9-2077004090,4.0,august
9-2077004284,2.0,april
9-2889014427|EE0019|L,0.0,may
9-3008000505,2.0,october-november
9-3008000581,2.0,october-november
9-3309010170|ED2405|110,0.0,april-may
9-4007005431|EE0011|8,2.0,may
9-4007005522|EE0017|5,1.0,may
9-4686000908|EB0180|L,0.0,march
9-4862000515,3.0,july
9-4862000621,4.0,april
9-4862000872,2.0,april
9-4862001044,1.0,february
9-4896003733,12.0,january-february
9-4896003865,8.0,february
9-4985000067,2.0,november
9-4985000613,1.0,january
9-4985000810,2.0,january-february
9-5289000002,5.0,september-october
959300800260,1.0,november
1053088,3.0,february
1054537,4.0,july
1081079,1.0,april-may
1082575,5.0,may-june
1082832,1.0,june
1083604,4.0,april
1083329,4.0,october-november
1083423,5.0,july
1083635,3.0,july
1083656,10.0,january
3GF5378|L031|T40,1.0,august
3GW4200262|G0433|S,1.0,february
9-2077003911,2.0,january
925278503407,2.0,january
9-3008000644,0.0,april-may
9-3047001433|EE0224|ONESIZE,1.0,august
9-3309010174|ED2077|085,1.0,may
9-4357000624|EE0019|75,0.0,january
9-4447000206|ED2061|095,1.0,june
9-4577000031|EE1616|412,1.0,july
9-4686000835|EB0180|XL,0.0,january
9-4862000747,1.0,january
9-4896003572,11.0,september
9-4896003950,12.0,january-february
9-4985000042,1.0,june
9-4985000195,2.0,december
9-5289000018,2.0,october-november
1049905,3.0,september-october
1059857,1.0,june
12309507,39.0,october-november
12310531,3.0,august
12309069,48.0,january-february
3CH1885|LKG2|T45,1.0,january-december
3EF7767|L166|T36,1.0,august
3EF9621|L166|T36,2.0,may
3FJ5242|L166|T12A,1.0,august
3G2009027|G0433|XXL,0.0,july-august
3G2013033|G0113|XXL,3.0,july
9-4623000107,1.0,january
9-4623000134,6.0,july
9-4724000005|EB2698|75,1.0,july
9-4781000164|EB7780|ONE SIZE,2.0,july
9-4896000695,0.0,january-december
9-4896001072,12.0,june
9-4896001099,3.0,july-august
9-4896001967,7.0,july
9-4896002035,12.0,january
9-4896002099,4.0,october-november
9-4896002114,10.0,august
9-4896004275,5.0,november
9-4896004665,25.0,september-december
9-4896005140,2.0,february-march
9-4896005244,4.0,april
9-4896005256,6.0,may
9-4896005338,1.0,april-may
9-5035000195|EE0019|38,2.0,may
